"time","resistor.v","resistor.i","resistor.LossPower"
0,0,0,0
0.0002,3.728909210197154,0.3728909210197154,1.390476389789316
0.0004,7.362758598807203,0.7362758598807203,5.421021418430941
0.0006,10.88236030198525,1.088236030198525,11.84257657422245
0.0008,14.26914938982367,1.426914938982367,20.36086243091053
0.001,17.50528783974831,1.75052878397483,30.64351023524399
0.0012,20.57376464251264,2.057376464251264,42.32797915655032
0.0014,23.45849447253685,2.345849447253685,55.03009629180417
0.0016,26.1444097146316,2.61444097146316,68.35301593265233
0.0018,28.61754573208974,2.861754573208974,81.89639237282476
0.002,30.86512074141966,3.086512074141965,95.26556783824138
0.0022,32.87560998131151,3.287560998131151,108.0805731643309
0.0024,34.63881201582915,3.463881201582915,119.984729786795
0.0026,36.14590591918734,3.614590591918733,130.6526514718742
0.0028,37.38950091165837,3.738950091165838,139.7974778422902
0.003,38.36368035480037,3.836368035480037,147.1771970365296
0.0032,39.06403784125192,3.906403784125192,152.5999052462762
0.0034,39.4877011950253,3.94877011950253,155.9278545667603
0.0036,39.63334569168239,3.963334569168239,157.0802090716399
0.0038,39.50120284280847,3.950120284280847,156.03450260287
0.004,39.09306500091201,3.909306500091201,152.8267731165532
0.0042,38.41227643409725,3.841227643409725,147.5502980849503
0.0044,37.46370705544584,3.746370705544584,140.3529346336263
0.0046,36.25372139932019,3.625372139932019,131.4332315299527
0.0048,34.79015175010441,3.479015175010441,121.0354658795293
0.005,33.08226352009168,3.308226352009168,109.4436159612789
0.0052,31.14069370086215,3.114069370086215,96.97428041709156
0.0054,28.97737293007549,2.897737293007549,83.96881419286719
0.0056,26.60546617211226,2.660546617211226,70.78508302354099
0.0058,24.03933149908002,2.403933149908002,57.78894589226608
0.006,21.29441716388847,2.129441716388847,45.3452202349708
0.0062,18.38714172454002,1.838714172454001,33.80869807983203
0.0064,15.33483180481621,1.533483180481621,23.51570664820028
0.0066,12.15564079458658,1.215564079458658,14.77596031270176
0.0068,8.868436784799577,0.8868436784799577,7.864917100598626
0.007,5.492666531718541,0.5492666531718541,3.016938562866099
0.0072,2.048258225510168,0.2048258225510168,0.419536175837006
0.0074,-1.444477056755925,-0.1444477056755925,0.2086513967494261
0.0076,-4.964962335525918,-0.4964962335525918,2.465085099319098
0.0078,-8.492479502974843,-0.8492479502974843,7.212220810844785
0.008,-12.00628797987281,-1.200628797987281,14.41509510556383
0.0082,-15.48573877129779,-1.548573877129779,23.98081052928757
0.0084,-18.91039005406018,-1.891039005406018,35.76028519966982
0.0086,-22.26012391703844,-2.226012391703844,49.55131168019069
0.0088,-25.51526116140858,-2.551526116140858,65.10285521348852
0.009,-28.65667335094237,-2.865667335094237,82.12049275426106
0.0092,-31.66589378114654,-3.166589378114654,100.2728828958855
0.0094,-34.52521398629152,-3.452521398629152,119.1990400799219
0.0096,-37.21779540620064,-3.721779540620064,138.5164294897809
0.0098,-39.72775723536804,-3.972775723536804,157.8294694952338
0.01,-42.04026458876113,-4.204026458876113,176.7383846693043
0.0102,-44.141617840584,-4.4141617840584,194.8482425584164
0.0104,-46.01932402301199,-4.601932402301199,211.7778183534969
0.0106,-47.66217551405468,-4.766217551405468,227.1682974732554
0.0108,-49.0603118748248,-4.90603118748248,240.6914201255075
0.011,-50.20526976953873,-5.020526976953873,252.0569112632159
0.0112,-51.09003787137569,-5.109003787137569,261.0191969698602
0.0114,-51.70909386355725,-5.170909386355725,267.3830388190174
0.0116,-52.05843166400455,-5.205843166400455,271.0080307315832
0.0118,-52.13558950998397,-5.213558950998397,271.8119693553551
0.012,-51.93966149840981,-5.193966149840981,269.7728436569395
0.0122,-51.4713011592053,-5.147130115920531,264.9294843021609
0.0124,-50.7327206194712,-5.073272061947121,257.3808941453319
0.0126,-49.72767639312179,-4.972767639312179,247.2841799459042
0.0128,-48.46144694368309,-4.846144694368309,234.8511839875411
0.013,-46.94080447896701,-4.694080447896701,220.3439125132609
0.0132,-45.17397465255213,-4.517397465255213,204.0687985909422
0.0134,-43.17059004417364,-4.317059004417364,186.3699844762104
0.0136,-40.94163600929039,-4.094163600929039,167.6217559117223
0.0138,-38.49938667244389,-3.849938667244389,148.220277415435
0.014,-35.85733647956661,-3.585733647956661,128.5748579408858
0.0142,-33.03012295221919,-3.303012295221919,109.0989022238717
0.0144,-30.03344223135648,-3.003344223135648,90.20076522642269
0.0146,-26.88396178077067,-2.688396178077067,72.2747401029938
0.0148,-23.5992242719287,-2.35992242719287,55.69233862367885
0.015,-20.19754685480406,-2.019754685480406,40.79408989520054
0.0152,-16.69791949910687,-1.669791949910687,27.88205155986536
0.0154,-13.11989494687167,-1.311989494687167,17.21316434169488
0.0156,-9.483476935222507,-0.9483476935222507,8.993633478089727
0.0158,-5.809009232980047,-0.5809009232980047,3.374458826884744
0.016,-2.117057335553797,-0.2117057335553797,0.4481931762022143
0.0162,1.571708663293212,0.1571708663293211,0.2470268122270934
0.0164,5.236628789288365,0.5236628789288365,2.742228107680373
0.0166,8.857173646717028,0.8857173646717028,7.844952500809861
0.0168,12.41306094917091,1.24130609491709,15.40840821278317
0.017,15.8843681666734,1.58843681666734,25.23131520544273
0.0172,19.25164896600807,1.925164896600807,37.06259879103996
0.0174,22.49604320930852,2.249604320930852,50.60719600750759
0.0176,25.59938181827667,2.559938181827667,65.53283494779141
0.0178,28.544293223437,2.8544293223437,81.47766756255514
0.018,31.31430126367436,3.131430126367436,98.05854636321574
0.0182,33.89391692593404,3.389391692593404,114.8797604582118
0.0184,36.26873003144082,3.626873003144083,131.5420778093538
