"time","add.y"
0,-0.02060937888220347
0,-0.02060937888220347
0,-0.02060937888220347
0.5,0.2504895153474811
0.5,0.2142049967572225
1,0.6273201013443549
1,0.6603941424260107
1.5,0.8428906473790764
1.5,0.845812425686878
2,0.7878616438900107
2,0.8012179871371723
2.5,0.6714483111346654
2.5,0.744725733887838
3,0.6745456127034591
3,0.695729211421596
3.5,0.7042709338812012
3.5,0.6203842643373645
4,0.6599559831375499
4,0.5908599506070656
4.5,0.6165753218263481
4.5,0.7018315866255275
5,0.7024689634495609
5,0.669684819745872
5.5,0.6580166701519754
5.5,0.4794394082655082
6,0.4703648418548547
6,0.596721670654801
6.5,0.5954142592913994
6.5,0.6321564782692949
7,0.6354591573755003
7,0.6569585263243307
7.5,0.6600594170577501
7.5,0.6517817688205277
8,0.6525532941072876
8,0.7222345338765527
8.5,0.7213497863333476
8.5,0.6741992508706162
9,0.6731682176883528
9,0.6300190734646041
9.5,0.6296625904890935
9.5,0.6216768420821475
10,0.6218953331677085
10,0.6674790253859412
10.5,0.667812370839684
10.5,0.6689979587459329
11,0.6691465107029383
11,0.6612585361849899
11.5,0.661212314464625
11.5,0.6716248172848837
12,0.6715190924198623
12,0.7018964398647554
12.5,0.7018385054438301
12.5,0.6486000516845939
13,0.6486060711992095
13,0.6581295791923357
13.5,0.6581619125198392
13.5,0.5480806886782833
14,0.5481028039919376
14,0.647459892883167
14.5,0.6474612988931258
14.5,0.7068216845704711
15,0.7068120229288717
15,0.6207556882991588
15.5,0.6207475240957463
15.5,0.6216666999976979
16,0.6216650264262533
16,0.7423525829189184
16.5,0.7423552337060267
16.5,0.5815433346797605
17,0.5815462953799273
17,0.6258406239993169
17.5,0.6258416620657105
17.5,0.7773694133783617
18,0.7773687543405297
18,0.6922584778536321
18.5,0.6922574268321556
18.5,0.7836708385655743
19,0.7836703280571933
19,0.7293908609016505
19.5,0.72939098103502
19.5,0.6775646329398296
20,0.6775649863309823
20,0.7662256526933574
20.5,0.7662258754412572
20.5,0.5236053244008703
21,0.5236053249626158
21,0.5653155287034756
21.5,0.5653154169734957
21.5,0.6178685466035229
22,0.6178684567670079
22,0.6528954433352976
22.5,0.6528954275991166
22.5,0.6748040576009789
23,0.6748040902315818
23,0.7212289403684405
23.5,0.7212289744475124
23.5,0.4978224933701981
24,0.4978225042517792
24,0.7145173255257213
24.5,0.7145173170846147
24.5,0.8080847564075305
25,0.8080847441616517
25,0.6427419866780114
25.5,0.6427419811138245
25.5,0.6231054791389488
26,0.6231054808464175
26,0.7183565496960934
26.5,0.7183565538668947
26.5,0.7466281373680915
27,0.74662813985115
27,0.845946933868683
27.5,0.8459469337584017
27.5,0.6266348716530319
28,0.6266348703141222
28,0.7135638859845175
28.5,0.7135638849668968
28.5,0.6507695361667721
29,0.650769536025432
29,0.6847230995357984
29.5,0.6847230999350056
29.5,0.7004318203673574
30,0.7004318207585107
30,0.6593742391783269
30,0.6593742391783269
