"time","mass.a","force.f"
0,-0.3208928794358637,-0.9626786383075912
0.03,-0.3208928794358637,-0.9626786383075912
0.06,-0.3208928794358637,-0.9626786383075912
0.09,-0.3208928794358637,-0.9626786383075912
0.12,-0.3208928794358637,-0.9626786383075912
0.15,-0.3208928794358637,-0.9626786383075912
0.18,-0.3208928794358637,-0.9626786383075912
0.21,-0.3208928794358637,-0.9626786383075912
0.24,-0.3208928794358637,-0.9626786383075912
0.27,-0.3208928794358637,-0.9626786383075912
0.3,-0.3208928794358637,-0.9626786383075912
0.33,-0.3208928794358637,-0.9626786383075912
0.36,-0.3208928794358637,-0.9626786383075912
0.39,-0.3208928794358637,-0.9626786383075912
0.42,-0.3208928794358637,-0.9626786383075912
0.45,-0.3208928794358637,-0.9626786383075912
0.48,-0.3208928794358637,-0.9626786383075912
0.51,-0.3208928794358637,-0.9626786383075912
0.54,-0.3208928794358637,-0.9626786383075912
0.57,-0.3208928794358637,-0.9626786383075912
0.6,-0.3208928794358637,-0.9626786383075912
0.63,-0.3208928794358637,-0.9626786383075912
0.66,-0.3208928794358637,-0.9626786383075912
0.6899999999999999,-0.3208928794358637,-0.9626786383075912
0.72,-0.3208928794358637,-0.9626786383075912
0.75,-0.3208928794358637,-0.9626786383075912
0.78,-0.3208928794358637,-0.9626786383075912
0.8100000000000001,-0.3208928794358637,-0.9626786383075912
0.84,-0.3208928794358637,-0.9626786383075912
0.87,-0.3208928794358637,-0.9626786383075912
0.9,-0.3208928794358637,-0.9626786383075912
0.93,-0.3208928794358637,-0.9626786383075912
0.96,-0.3208928794358637,-0.9626786383075912
0.99,-0.3208928794358637,-0.9626786383075912
1,-0.3208928794358637,-0.9626786383075912
1,-0.2099836803710485,-0.6299510411131455
1.02,-0.2099836803710485,-0.6299510411131455
1.05,-0.2099836803710485,-0.6299510411131455
1.08,-0.2099836803710485,-0.6299510411131455
1.11,-0.2099836803710485,-0.6299510411131455
1.14,-0.2099836803710485,-0.6299510411131455
1.17,-0.2099836803710485,-0.6299510411131455
1.2,-0.2099836803710485,-0.6299510411131455
1.23,-0.2099836803710485,-0.6299510411131455
1.26,-0.2099836803710485,-0.6299510411131455
1.29,-0.2099836803710485,-0.6299510411131455
1.32,-0.2099836803710485,-0.6299510411131455
1.35,-0.2099836803710485,-0.6299510411131455
1.38,-0.2099836803710485,-0.6299510411131455
1.41,-0.2099836803710485,-0.6299510411131455
1.44,-0.2099836803710485,-0.6299510411131455
1.47,-0.2099836803710485,-0.6299510411131455
1.5,-0.2099836803710485,-0.6299510411131455
1.53,-0.2099836803710485,-0.6299510411131455
1.56,-0.2099836803710485,-0.6299510411131455
1.59,-0.2099836803710485,-0.6299510411131455
1.62,-0.2099836803710485,-0.6299510411131455
1.65,-0.2099836803710485,-0.6299510411131455
1.68,-0.2099836803710485,-0.6299510411131455
1.71,-0.2099836803710485,-0.6299510411131455
1.74,-0.2099836803710485,-0.6299510411131455
1.77,-0.2099836803710485,-0.6299510411131455
1.8,-0.2099836803710485,-0.6299510411131455
1.83,-0.2099836803710485,-0.6299510411131455
1.86,-0.2099836803710485,-0.6299510411131455
1.89,-0.2099836803710485,-0.6299510411131455
1.92,-0.2099836803710485,-0.6299510411131455
1.95,-0.2099836803710485,-0.6299510411131455
1.98,-0.2099836803710485,-0.6299510411131455
2,-0.2099836803710485,-0.6299510411131455
2,-0.105561340667055,-0.3166840220011649
2.01,-0.105561340667055,-0.3166840220011649
2.04,-0.105561340667055,-0.3166840220011649
2.07,-0.105561340667055,-0.3166840220011649
2.1,-0.105561340667055,-0.3166840220011649
2.13,-0.105561340667055,-0.3166840220011649
2.16,-0.105561340667055,-0.3166840220011649
2.19,-0.105561340667055,-0.3166840220011649
2.22,-0.105561340667055,-0.3166840220011649
2.25,-0.105561340667055,-0.3166840220011649
2.28,-0.105561340667055,-0.3166840220011649
2.31,-0.105561340667055,-0.3166840220011649
2.34,-0.105561340667055,-0.3166840220011649
2.37,-0.105561340667055,-0.3166840220011649
2.4,-0.105561340667055,-0.3166840220011649
2.43,-0.105561340667055,-0.3166840220011649
2.46,-0.105561340667055,-0.3166840220011649
2.49,-0.105561340667055,-0.3166840220011649
2.52,-0.105561340667055,-0.3166840220011649
2.55,-0.105561340667055,-0.3166840220011649
2.58,-0.105561340667055,-0.3166840220011649
2.61,-0.105561340667055,-0.3166840220011649
2.64,-0.105561340667055,-0.3166840220011649
2.67,-0.105561340667055,-0.3166840220011649
2.7,-0.105561340667055,-0.3166840220011649
2.73,-0.105561340667055,-0.3166840220011649
2.76,-0.105561340667055,-0.3166840220011649
2.79,-0.105561340667055,-0.3166840220011649
2.82,-0.105561340667055,-0.3166840220011649
2.85,-0.105561340667055,-0.3166840220011649
2.88,-0.105561340667055,-0.3166840220011649
2.91,-0.105561340667055,-0.3166840220011649
2.94,-0.105561340667055,-0.3166840220011649
2.97,-0.105561340667055,-0.3166840220011649
3,-0.105561340667055,-0.3166840220011649
3,0.1447200652008948,0.4341601956026844
3.03,0.1447200652008948,0.4341601956026844
3.06,0.1447200652008948,0.4341601956026844
3.09,0.1447200652008948,0.4341601956026844
3.12,0.1447200652008948,0.4341601956026844
3.15,0.1447200652008948,0.4341601956026844
3.18,0.1447200652008948,0.4341601956026844
3.21,0.1447200652008948,0.4341601956026844
3.24,0.1447200652008948,0.4341601956026844
3.27,0.1447200652008948,0.4341601956026844
3.3,0.1447200652008948,0.4341601956026844
3.33,0.1447200652008948,0.4341601956026844
3.36,0.1447200652008948,0.4341601956026844
3.39,0.1447200652008948,0.4341601956026844
3.42,0.1447200652008948,0.4341601956026844
3.45,0.1447200652008948,0.4341601956026844
3.48,0.1447200652008948,0.4341601956026844
3.51,0.1447200652008948,0.4341601956026844
3.54,0.1447200652008948,0.4341601956026844
3.57,0.1447200652008948,0.4341601956026844
3.6,0.1447200652008948,0.4341601956026844
3.63,0.1447200652008948,0.4341601956026844
3.66,0.1447200652008948,0.4341601956026844
3.69,0.1447200652008948,0.4341601956026844
3.72,0.1447200652008948,0.4341601956026844
3.75,0.1447200652008948,0.4341601956026844
3.78,0.1447200652008948,0.4341601956026844
3.81,0.1447200652008948,0.4341601956026844
3.84,0.1447200652008948,0.4341601956026844
3.87,0.1447200652008948,0.4341601956026844
3.9,0.1447200652008948,0.4341601956026844
3.93,0.1447200652008948,0.4341601956026844
3.96,0.1447200652008948,0.4341601956026844
3.99,0.1447200652008948,0.4341601956026844
4,0.1447200652008948,0.4341601956026844
4,-0.08682309938835808,-0.2604692981650742
4.02,-0.08682309938835808,-0.2604692981650742
4.05,-0.08682309938835808,-0.2604692981650742
4.08,-0.08682309938835808,-0.2604692981650742
4.11,-0.08682309938835808,-0.2604692981650742
4.14,-0.08682309938835808,-0.2604692981650742
4.17,-0.08682309938835808,-0.2604692981650742
4.2,-0.08682309938835808,-0.2604692981650742
4.23,-0.08682309938835808,-0.2604692981650742
4.26,-0.08682309938835808,-0.2604692981650742
4.29,-0.08682309938835808,-0.2604692981650742
4.32,-0.08682309938835808,-0.2604692981650742
4.35,-0.08682309938835808,-0.2604692981650742
4.38,-0.08682309938835808,-0.2604692981650742
4.41,-0.08682309938835808,-0.2604692981650742
4.44,-0.08682309938835808,-0.2604692981650742
4.47,-0.08682309938835808,-0.2604692981650742
4.5,-0.08682309938835808,-0.2604692981650742
4.53,-0.08682309938835808,-0.2604692981650742
4.56,-0.08682309938835808,-0.2604692981650742
4.59,-0.08682309938835808,-0.2604692981650742
4.62,-0.08682309938835808,-0.2604692981650742
4.65,-0.08682309938835808,-0.2604692981650742
4.68,-0.08682309938835808,-0.2604692981650742
4.71,-0.08682309938835808,-0.2604692981650742
4.74,-0.08682309938835808,-0.2604692981650742
4.77,-0.08682309938835808,-0.2604692981650742
4.8,-0.08682309938835808,-0.2604692981650742
4.83,-0.08682309938835808,-0.2604692981650742
4.86,-0.08682309938835808,-0.2604692981650742
4.89,-0.08682309938835808,-0.2604692981650742
4.92,-0.08682309938835808,-0.2604692981650742
4.95,-0.08682309938835808,-0.2604692981650742
4.98,-0.08682309938835808,-0.2604692981650742
5,-0.08682309938835808,-0.2604692981650742
5,0.2455345420494533,0.7366036261483599
5.01,0.2455345420494533,0.7366036261483599
5.04,0.2455345420494533,0.7366036261483599
5.07,0.2455345420494533,0.7366036261483599
5.1,0.2455345420494533,0.7366036261483599
5.13,0.2455345420494533,0.7366036261483599
