t1,u,s,t2,y
0,0,,0,0
1e-10,0.05,,1e-10,1.5045805076721546e-10
1.1120000112021401e-10,0.055600000560107,,1.1120000112021401e-10,1.694073493910965e-10
1.3360000336064203e-10,0.06680000168032102,,1.3360000336064203e-10,2.1192177644280216e-10
1.7840000784149806e-10,0.08920000392074903,,1.7840000784149806e-10,3.296489096461926e-10
2.680000168032101e-10,0.13400000840160506,,2.680000168032101e-10,7.452434024439734e-10
4.4720003472663425e-10,0.2236000173633171,,4.4720003472663425e-10,2.6797580251817213e-9
8.056000705734826e-10,0.40280003528674124,,8.056000705734826e-10,1.3842768661611414e-8
1.522400142267179e-9,0.7612000711335896,,1.522400142267179e-9,8.579577699792421e-8
2.956000285654572e-9,1.478000142827286,,2.956000285654572e-9,5.583322155687139e-7
5.8232005724293585e-9,2.911600286214679,,5.8232005724293585e-9,0.0000034983790205168484
1e-8,5,,1e-8,0.000013911851220969407
1.0573440057354958e-8,5,,1.0573440057354958e-8,0.000016019995448803414
1.1720320172064873e-8,5,,1.1720320172064873e-8,0.00002046556767063129
1.4014080401484701e-8,5,,1.4014080401484701e-8,0.000030371372087123134
1.8601600860324358e-8,5,,1.8601600860324358e-8,0.0000521322902340837
2.7776641778003672e-8,5,,2.7776641778003672e-8,0.0000977267302104568
4.5577669709116035e-8,5,,4.5577669709116035e-8,0.00018679082707313748
8.117972557134077e-8,5,,8.117972557134077e-8,0.0003647613829564841
1.5238383729579022e-7,5,,1.5238383729579022e-7,0.000720783803171472
2.9479206074468915e-7,5,,2.9479206074468915e-7,0.0014327194721785314
5.79608507642487e-7,5,,5.79608507642487e-7,0.0028565020145867276
0.0000011492414014380826,5,,0.0000011492414014380826,0.005703399183501808
0.000002288507189029274,5,,0.000002288507189029274,0.011394819723468128
0.000004567038764211656,5,,0.000004567038764211656,0.022767883075470164
0.00000912410191457642,5,,0.00000912410191457642,0.04547523995474326
0.00001823822821530595,5,,0.00001823822821530595,0.09073503178649019
0.00003646648081676501,5,,0.00003646648081676501,0.18063872344807322
0.00007292298601968313,5,,0.00007292298601968313,0.3580100718040566
0.00014583599642551938,5,,0.00014583599642551938,0.703226954633998
0.00029166201723719186,5,,0.00029166201723719186,1.3572325057791248
0.0004916620172371918,5,,0.0004916620172371918,2.1803435933647144
0.0006916620172371918,5,,0.0006916620172371918,2.925063112557899
0.0008916620172371918,5,,0.0008916620172371918,3.5988569986694703
0.001091662017237192,5,,0.001091662017237192,4.2084800023308935
0.001291662017237192,5,,0.001291662017237192,4.760043707826842
0.001491662017237192,5,,0.001491662017237192,5.259077500467538
0.0016916620172371922,5,,0.0016916620172371922,5.710584300826073
0.0018916620172371923,5,,0.0018916620172371923,6.119090417473491
0.0020916620172371924,5,,0.0020916620172371924,6.488691225274975
0.0022916620172371924,5,,0.0022916620172371924,6.8230919201520805
0.0024916620172371925,5,,0.0024916620172371925,7.125644965407749
0.0026916620172371926,5,,0.0026916620172371926,7.399383399011804
0.0028916620172371927,5,,0.0028916620172371927,7.647051541232816
0.003091662017237193,5,,0.003091662017237193,7.871132205410991
0.003291662017237193,5,,0.003291662017237193,8.073871889687933
0.003491662017237193,5,,0.003491662017237193,8.257302996667763
0.003691662017237193,5,,0.003691662017237193,8.423264510071146
0.003891662017237193,5,,0.003891662017237193,8.573420129224315
0.004091662017237193,5,,0.004091662017237193,8.70927524893851
0.0042916620172371925,5,,0.0042916620172371925,8.832191749918255
0.004491662017237192,5,,0.004491662017237192,8.943401953221258
0.004691662017237192,5,,0.004691662017237192,9.044020672751698
0.0048916620172371915,5,,0.0048916620172371915,9.135056692861891
0.005091662017237191,5,,0.005091662017237191,9.217422579893803
0.005291662017237191,5,,0.005291662017237191,9.2919441325149
0.00549166201723719,5,,0.00549166201723719,9.359368358554917
0.00569166201723719,5,,0.00569166201723719,9.420371265546725
0.00589166201723719,5,,0.00589166201723719,9.475564336035168
0.006091662017237189,5,,0.006091662017237189,9.525500959393101
0.006291662017237189,5,,0.006291662017237189,9.570681678042826
0.006491662017237189,5,,0.006491662017237189,9.611559506802191
0.006691662017237188,5,,0.006691662017237188,9.648544173333999
0.006891662017237188,5,,0.006891662017237188,9.682006526321203
0.007091662017237188,5,,0.007091662017237188,9.712281952815447
0.007291662017237187,5,,0.007291662017237187,9.739674041066833
0.007491662017237187,5,,0.007491662017237187,9.764457323296789
0.007691662017237187,5,,0.007691662017237187,9.786880328568655
0.007891662017237186,5,,0.007891662017237186,9.807167773894985
0.008091662017237187,5,,0.008091662017237187,9.825523117241923
0.008291662017237187,5,,0.008291662017237187,9.842130296887431
0.008491662017237188,5,,0.008491662017237188,9.857155876137073
0.008691662017237188,5,,0.008691662017237188,9.870750412080977
0.008891662017237189,5,,0.008891662017237189,9.883050266038543
0.00909166201723719,5,,0.00909166201723719,9.894178669578084
0.00929166201723719,5,,0.00929166201723719,9.904247260940055
0.00949166201723719,5,,0.00949166201723719,9.913356903078132
0.009691662017237191,5,,0.009691662017237191,9.921598995932305
0.009891662017237192,5,,0.009891662017237192,9.929056091877897
0.01,5,,0.01,9.932792387074816
