t1,u,x,t2,y
0,0,,0,0
0.0000016000000000000004,0,,0.0000016000000000000004,0
0.0000032000000000000007,0,,0.0000032000000000000007,0
0.000006400000000000001,0,,0.000006400000000000001,0
0.000012800000000000003,0,,0.000012800000000000003,0
0.000025600000000000006,0,,0.000025600000000000006,0
0.00005120000000000001,0,,0.00005120000000000001,0
0.00010240000000000002,0,,0.00010240000000000002,0
0.00020480000000000004,0,,0.00020480000000000004,0
0.0003648000000000001,0,,0.0003648000000000001,0
0.0005248000000000001,0,,0.0005248000000000001,0
0.0006848000000000001,0,,0.0006848000000000001,0
0.0008448,0,,0.0008448,0
0.001,0,,0.001,0
0.001000001,0.4999999999566319,,0.001000001,1.1839308684636275e-7
0.001000003,1.499999999978316,,0.001000003,7.726830579493503e-7
0.001000007,3.500000000021684,,0.001000007,0.000005924514898457177
0.00100001,5,,0.00100001,0.000014150078069588017
0.001000010496951394,5,,0.001000010496951394,0.000015964735819825482
0.001000011490854182,5,,0.001000011490854182,0.000019773072245545187
0.001000013478659758,5,,0.001000013478659758,0.000028210713598406815
0.0010000174542709101,5,,0.0010000174542709101,0.00004680400423709779
0.0010000254054932142,5,,0.0010000254054932142,0.00008611859076788756
0.0010000413079378223,5,,0.0010000413079378223,0.00016568837840057548
0.0010000731128270387,5,,0.0010000731128270387,0.00032467796122088066
0.0010001367226054715,5,,0.0010001367226054715,0.0006427294997727551
0.0010002575811844938,5,,0.0010002575811844938,0.0012469507114432937
0.0010004992983425386,5,,0.0010004992983425386,0.0024552990672695512
0.001000982732658628,5,,0.001000982732658628,0.0048715611645659945
0.0010019496012908069,5,,0.0010019496012908069,0.00970233241105431
0.0010038833385551645,5,,0.0010038833385551645,0.019356872820974712
0.00100775081308388,5,,0.00100775081308388,0.03863797606585038
0.0010154857621413106,5,,0.0010154857621413106,0.07708854527463402
0.0010309556602561719,5,,0.0010309556602561719,0.15354528200615897
0.0010618954564858944,5,,0.0010618954564858944,0.30469820692496713
0.0011237750489453396,5,,0.0011237750489453396,0.6000959625885046
0.00124753423386423,5,,0.00124753423386423,1.164295703001604
0.00140753423386423,5,,0.00140753423386423,1.8439574747838392
0.00156753423386423,5,,0.00156753423386423,2.471337571932948
0.00172753423386423,5,,0.00172753423386423,3.0504576609567704
0.00188753423386423,5,,0.00188753423386423,3.585030050947129
0.0020475342338642302,5,,0.0020475342338642302,4.078481487251033
0.00220753423386423,5,,0.00220753423386423,4.533975120953559
0.00236753423386423,5,,0.00236753423386423,4.954430782246885
0.00252753423386423,5,,0.00252753423386423,5.34254370056724
0.00268753423386423,5,,0.00268753423386423,5.700801778472846
0.00284753423386423,5,,0.00284753423386423,6.031501542943227
0.00300753423386423,5,,0.00300753423386423,6.336762863466565
0.00316753423386423,5,,0.00316753423386423,6.618542544175258
0.00332753423386423,5,,0.00332753423386423,6.878646864334122
0.00348753423386423,5,,0.00348753423386423,7.118743160199119
0.00364753423386423,5,,0.00364753423386423,7.340370509673522
0.00380753423386423,5,,0.00380753423386423,7.544949601825415
0.00396753423386423,5,,0.00396753423386423,7.733791840221975
0.0041275342338642305,5,,0.0041275342338642305,7.908107752943898
0.004287534233864231,5,,0.004287534233864231,8.06901474877872
0.004447534233864231,5,,0.004447534233864231,8.217544283746964
0.004607534233864232,5,,0.004607534233864232,8.354648469440285
0.004767534233864232,5,,0.004767534233864232,8.481206179651526
0.004927534233864233,5,,0.004927534233864233,8.598028680909676
0.005087534233864233,5,,0.005087534233864233,8.705864836244471
0.005247534233864233,5,,0.005247534233864233,8.805405902331328
0.005407534233864234,5,,0.005407534233864234,8.897289963622168
0.005567534233864234,5,,0.005567534233864234,8.982106019815701
0.005727534233864235,5,,0.005727534233864235,9.060397764297385
0.005887534233864235,5,,0.005887534233864235,9.132667066508839
0.0060475342338642355,5,,0.0060475342338642355,9.199377192024999
0.006207534233864236,5,,0.006207534233864236,9.260955768931648
0.006367534233864236,5,,0.006367534233864236,9.317797532639029
0.006527534233864237,5,,0.006527534233864237,9.370266852498045
0.006687534233864237,5,,0.006687534233864237,9.418700071258243
0.006847534233864238,5,,0.006847534233864238,9.463407657430151
0.007007534233864238,5,,0.007007534233864238,9.50467619883264
0.0071675342338642384,5,,0.0071675342338642384,9.542770236694215
0.007327534233864239,5,,0.007327534233864239,9.577933964225467
0.007487534233864239,5,,0.007487534233864239,9.610392789313712
0.00764753423386424,5,,0.00764753423386424,9.640354782041243
0.00780753423386424,5,,0.00780753423386424,9.6680120057281
0.00796753423386424,5,,0.00796753423386424,9.693541751021433
0.008,5,,0.008,9.698474768678084
