Tiempo,Temperatura
0,23.438318166358773
1,22.398123580104162
2,24.79435180295238
3,24.606428489900356
4,25.605493483723922
5,25.426934470051396
6,25.24051579850533
7,25.70902667421475
8,26.63188195763476
9,26.460006215673975
10,26.829778733994317
11,27.5059605741207
12,27.89846292639484
13,27.51604496213401
14,29.43581825633275
15,30.162829726127676
16,29.325231814392964
17,30.126679480400185
18,30.871963440489544
19,30.11699540445875
20,31.02555077083336
21,31.31687646110238
22,32.55352998490108
23,32.45386275950333
24,32.63228408593915
25,33.534295697635756
26,34.20713621674916
27,33.53691432520158
28,33.9061321717567
29,34.14113912235262
30,34.33554550276491
31,35.79311929576971
32,35.21413701839829
33,35.67862838519143
34,36.87117069465387
35,36.24172024380781
36,36.96676510215822
37,37.39981638559187
38,36.93626295655158
39,37.315385152273684
40,38.075608723730625
41,38.17004764426192
42,38.12649191842215
43,38.335705394327725
44,39.316077099738976
45,39.76792947889092
46,39.31125261081169
47,39.849526288126135
48,39.837209176762556
49,40.97065476683079
50,40.829069662844425
51,40.31314615438681
52,41.318567899134294
53,42.40162656011921
54,42.24281322337372
55,42.28767175742863
56,42.579659393288864
57,42.47041465709259
58,42.53990988523971
59,43.48266769880637
60,44.30110762079223
61,44.761863654397324
62,44.908353011362394
63,44.27677791271433
64,45.055030078704085
65,44.7101459018906
66,44.41914046408757
67,45.00274728700598
68,45.38255478524174
69,46.696519393145934
70,46.20229109326471
71,46.01454869102954
72,47.01709627101146
73,46.485493438304175
74,47.29576705753938
75,47.56015626011881
76,47.7520092043663
77,47.40001058991528
78,47.071511978473175
79,47.21355379290426
80,48.18373810704971
81,48.08970770270629
82,49.48969494235077
83,48.710170841408015
84,49.14348481608152
85,49.74120185294965
86,48.70428362147374
87,49.20646542260315
88,49.29103361586778
89,49.18585792223941
90,49.80158692082213
91,49.54203082502242
92,50.110418712677294
93,50.70016973376297
94,51.55294715287094
95,50.941254191409776
96,51.3452144561501
97,51.80136362469719
98,50.748143797521635
99,51.76504197125471
100,52.244954341782574
101,52.80336317789598
102,52.4856058956085
103,52.02912641974062
104,52.516897489183236
105,52.657325720739095
106,53.59943052868886
107,53.09469879236351
108,53.24820503472038
109,53.81139980483485
110,53.49501423407961
111,52.88053694646968
112,52.86436736494056
113,54.435693414786215
114,53.76770134772837
115,54.37672101027215
116,53.36383724303035
117,54.58635474332386
118,54.98044923076366
119,54.655284535488626
120,54.53861989250736
121,55.19080987297198
122,54.890053495091095
123,55.18607601184536
124,55.45249613585354
125,55.74107485078803
126,54.536184869778616
127,55.49887247381727
128,56.165087172987974
129,56.268302574526956
130,55.8803425045052
131,57.004780922483214
132,56.04164123442338
133,56.19057138155824
134,56.07102848610281
135,56.467634669501834
136,57.44823409775156
137,58.06456802563398
138,57.09697285606848
139,56.906840684478574
140,57.44108673642083
141,57.830756280094654
142,56.90019619414406
143,56.73113058937672
144,57.60644883567853
145,57.80396695839412
146,58.70544386744413
147,58.27219595578594
148,57.6274951736049
149,59.40337502328918
150,58.1785006165624
151,58.928091251979154
152,58.25324473983981
153,59.3187667446172
154,58.889030421611814
155,59.43688277898486
156,58.4954690875891
157,58.57935031213512
158,58.71398328213369
159,59.50853228795144
160,59.88869685746668
161,58.87006873006601
162,59.718458504689984
163,60.026593750053024
164,59.98467106016371
165,60.08639034178303
166,59.31183551285761
167,60.32824617690052
168,59.44504463544048
169,60.38826720509298
170,60.38731589538328
171,60.979408135896165
172,60.66738601172735
173,60.485501715151784
174,59.92582411654124
175,61.29127045475817
176,61.509746317944625
177,60.15675724881951
178,60.46021948074591
179,61.103893771425035
180,60.975359004356875
181,60.78533424600486
182,61.643794556022975
183,60.91871849586051
184,60.66815917270321
185,60.810552919640244
186,61.54912951873063
187,61.48378833833723
188,61.73875015013833
189,60.10153566369741
190,62.415866925996106
191,61.26050557027114
192,61.705474109919564
193,62.02206926437748
194,61.291794220854705
195,61.971812120375496
196,62.06287061788876
197,62.213599162360815
198,61.74193407001096
199,61.679156686356365
200,62.151121456144075
201,62.84423428455113
202,62.33681907117099
203,62.73677440021105
204,62.5132096039181
205,61.570951974892786
206,62.336353348241666
207,62.461216693246534
208,64.16134540640272
209,63.15491550739645
210,61.99484634114193
211,63.22496893251655
212,63.26308459133149
213,63.09713142861551
214,63.489045021042905
215,62.84654518088217
216,63.17898879136583
217,64.13744576175444
218,63.06406952111754
219,63.77492093791761
220,63.287729150049444
221,63.002596552832856
222,63.62754939318173
223,63.56109148568931
224,63.18875070472173
225,63.86988761806503
226,62.76534895050538
227,63.785044288949216
228,64.23376554552273
229,64.55306560448487
230,64.5526479015788
231,63.875551741715626
232,64.87129198434305
233,64.05773118436936
234,64.12744646439434
235,63.98942151598763
236,64.88177637451473
237,63.45101259710172
238,64.17139157177081
239,65.2446127778267
240,64.72989340862999
241,64.30069554216536
242,64.51654393641867
243,65.2596843696308
244,64.75169761360058
245,65.01637493168765
246,64.12051384277801
247,64.46920047674115
248,65.4300956978559
249,64.2710909779482
250,64.27259053483658
251,65.12274958420227
252,64.91395247036577
253,64.82255303087341
254,64.80365687580029
255,64.9585810776467
256,64.71025017665724
257,64.584766371764
258,66.01307427353854
259,64.87270018647219
260,65.1731205214567
261,65.2160372713305
262,65.07769018700495
263,64.83215959678145
264,65.24269978601451
265,64.80107612251953
266,66.09943191577602
267,65.80589973294546
268,65.93777368441107
269,65.70574963851824
270,65.90662771084767
271,66.41073063965489
272,65.70492885667178
273,65.59808511744203
274,67.05719245541364
275,66.17879081226941
276,65.62921448090536
277,66.06830032378875
278,66.36504992797822
279,66.1745997746048
280,65.21607744702841
281,65.90175701620889
282,65.91149807346794
283,65.44127550721156
284,64.99579617493836
285,66.79145468560627
286,65.59774196596283
287,66.06721505738123
288,65.57962633397909
289,66.62697037039085
290,66.37758394008868
291,65.97581613316582
292,66.18889022234774
293,65.85189063755215
294,65.87326883264011
295,65.78359884836725
296,66.58071532903865
297,65.97901495069395
298,66.5304539113835
299,66.4908501104283
300,65.75226635799861
301,65.70545083362154
302,65.77881898175957
303,66.53439976592028
304,66.84906341925154
305,67.19081524315119
306,66.74670222496457
307,66.27510181353782
308,65.83199431678356
309,67.3150977395529
310,67.01816918195567
311,66.41467723721323
312,66.45014841186827
313,66.75473050596239
314,66.65673669320013
315,66.81106971755928
316,66.9688754592464
317,67.1286508121114
318,66.56541232559178
319,66.73632984215509
