"time","G.y","G.u"
0,0,0.01866068084620442
0.05,7.836436029434991e-06,0.01866068084620442
0.1,5.777069453213907e-05,0.01866068084620442
0.15,0.0001864868725194218,0.01866068084620442
0.2,0.0004227578090948718,0.01866068084620442
0.25,0.0007886008075682733,0.01866068084620442
0.3,0.001299457494334076,0.01866068084620442
0.35,0.001964082567041233,0.01866068084620442
0.4,0.002785066412743223,0.01866068084620442
0.45,0.003759313831786503,0.01866068084620442
0.5,0.004878532635895283,0.01866068084620442
0.55,0.00612979355593065,0.01866068084620442
0.6,0.007496158528423257,0.01866068084620442
0.65,0.008957329895110739,0.01866068084620442
0.7,0.01049037614724975,0.01866068084620442
0.75,0.01207044547434937,0.01866068084620442
0.8,0.01367143689304359,0.01866068084620442
0.85,0.01526667296208722,0.01866068084620442
0.9,0.01682972014457748,0.01866068084620442
0.95,0.01833487068545193,0.01866068084620442
1,0.01975774232775644,0.01866068084620442
1.05,0.02107586815505278,0.01866068084620442
1.1,0.02226921522175117,0.01866068084620442
1.15,0.0233205219983034,0.01866068084620442
1.2,0.02421560304556835,0.01866068084620442
1.25,0.02494361377559687,0.01866068084620442
1.3,0.02549723665451054,0.01866068084620442
1.35,0.02587274405061656,0.01866068084620442
1.4,0.02606996400800898,0.01866068084620442
1.45,0.02609219769428022,0.01866068084620442
1.5,0.0259460886604037,0.01866068084620442
1.55,0.02564144059830789,0.01866068084620442
1.6,0.02519090704480157,0.01866068084620442
1.65,0.02460960791072588,0.01866068084620442
1.7,0.02391475490736961,0.01866068084620442
1.75,0.02312528593372378,0.01866068084620442
1.8,0.02226143728260138,0.01866068084620442
1.85,0.02134429085872238,0.01866068084620442
1.9,0.02039528577046004,0.01866068084620442
1.95,0.01943576055315709,0.01866068084620442
2,0.01848653487259464,0.01866068084620442
2.05,0.017567476307188,0.01866068084620442
2.1,0.01669716970674198,0.01866068084620442
2.15,0.01589256166081525,0.01866068084620442
2.2,0.01516863419209858,0.01866068084620442
2.25,0.01453820031997091,0.01866068084620442
2.3,0.01401170279124963,0.01866068084620442
2.35,0.01359700741655536,0.01866068084620442
2.4,0.01329941537421094,0.01866068084620442
2.45,0.01312161331369334,0.01866068084620442
2.5,0.01306364071668112,0.01866068084620442
2.55,0.01312305454841145,0.01866068084620442
2.6,0.01329504036525152,0.01866068084620442
2.65,0.01357254208286086,0.01866068084620442
2.7,0.01394653041254013,0.01866068084620442
2.75,0.01440625596248587,0.01866068084620442
2.8,0.01493950789007901,0.01866068084620442
2.85,0.01553292574507328,0.01866068084620442
2.9,0.01617225023256409,0.01866068084620442
2.95,0.01684275841400521,0.01866068084620442
3,0.01752952995999691,0.01866068084620442
3.05,0.01821775927176175,0.01866068084620442
3.1,0.01889310774746132,0.01866068084620442
3.15,0.01954197395319147,0.01866068084620442
3.2,0.02015172931130966,0.01866068084620442
3.25,0.0207109241604664,0.01866068084620442
3.3,0.02120953551891436,0.01866068084620442
3.35,0.02163909716893118,0.01866068084620442
3.4,0.02199284520658244,0.01866068084620442
3.45,0.02226583239152661,0.01866068084620442
3.5,0.02245495034796182,0.01866068084620442
3.55,0.02255891234342002,0.01866068084620442
3.6,0.02257826565761437,0.01866068084620442
3.65,0.02251529932385111,0.01866068084620442
3.7,0.02237392809166149,0.01866068084620442
3.75,0.02215958202565748,0.01866068084620442
3.8,0.02187905276004197,0.01866068084620442
3.85,0.02154024904990707,0.01866068084620442
3.9,0.02115210825340057,0.01866068084620442
3.95,0.02072432528139249,0.01866068084620442
4,0.02026703791465712,0.01866068084620442
4.05,0.01979075526961853,0.01866068084620442
4.1,0.01930601650799242,0.01866068084620442
4.15,0.01882314314262856,0.01866068084620442
4.2,0.018352138639092,0.01866068084620442
4.25,0.01790243785019463,0.01866068084620442
4.3,0.01748277336580171,0.01866068084620442
4.35,0.01710092216065797,0.01866068084620442
4.4,0.01676364511904081,0.01866068084620442
4.45,0.01647654870160396,0.01866068084620442
4.5,0.01624403220339966,0.01866068084620442
4.55,0.016069219920246,0.01866068084620442
4.6,0.01595393147818886,0.01866068084620442
4.65,0.01589871894824832,0.01866068084620442
4.7,0.01590283037660453,0.01866068084620442
4.75,0.01596426304369877,0.01866068084620442
4.8,0.01607990375346944,0.01866068084620442
4.85,0.01624563754448898,0.01866068084620442
4.9,0.01645643035648347,0.01866068084620442
4.95,0.0167065019773895,0.01866068084620442
5,0.01698937633791351,0.01866068084620442
5.05,0.01729810366447862,0.01866068084620442
5.1,0.0176254407942718,0.01866068084620442
5.15,0.01796397882178133,0.01866068084620442
5.2,0.01830631278769509,0.01866068084620442
5.25,0.01864519883111036,0.01866068084620442
5.3,0.01897369648056175,0.01866068084620442
5.35,0.01928527290747927,0.01866068084620442
5.4,0.01957395135331262,0.01866068084620442
5.45,0.01983448334403258,0.01866068084620442
5.5,0.02006231553316301,0.01866068084620442
5.55,0.02025374876052945,0.01866068084620442
5.6,0.02040592750540075,0.01866068084620442
5.65,0.02051689737912384,0.01866068084620442
5.7,0.02058564819065873,0.01866068084620442
5.75,0.02061211231719647,0.01866068084620442
5.8,0.02059708362869199,0.01866068084620442
5.85,0.02054221351010537,0.01866068084620442
5.9,0.02044988366207973,0.01866068084620442
5.95,0.02032318564098363,0.01866068084620442
6,0.02016583816702084,0.01866068084620442
6.05,0.01998210224383143,0.01866068084620442
6.1,0.01977663249052772,0.01866068084620442
6.15,0.0195544124618007,0.01866068084620442
6.2,0.0193206193493646,0.01866068084620442
6.25,0.01908049919101986,0.01866068084620442
6.3,0.01883924495776628,0.01866068084620442
6.35,0.01860189581512976,0.01866068084620442
6.4,0.01837327023858269,0.01866068084620442
6.45,0.01815787124060143,0.01866068084620442
6.5,0.01795977751771065,0.01866068084620442
6.55,0.01778253926754355,0.01866068084620442
6.6,0.01762920765804776,0.01866068084620442
6.65,0.01750222602823488,0.01866068084620442
6.7,0.01740343656432553,0.01866068084620442
6.75,0.01733397264680639,0.01866068084620442
6.8,0.01729433550803112,0.01866068084620442
6.85,0.01728440713666059,0.01866068084620442
6.9,0.01730348663418,0.01866068084620442
6.95,0.01735024947058221,0.01866068084620442
7,0.01742281285173667,0.01866068084620442
7.05,0.01751887189046119,0.01866068084620442
7.1,0.01763568805261249,0.01866068084620442
7.15,0.01777017927425418,0.01866068084620442
7.2,0.01791896679209625,0.01866068084620442
7.25,0.01807850918309883,0.01866068084620442
7.3,0.01824513452823242,0.01866068084620442
7.35,0.01841512803593413,0.01866068084620442
7.4,0.01858484438458579,0.01866068084620442
7.45,0.01875075880622559,0.01866068084620442
7.5,0.01890954190171,0.01866068084620442
7.55,0.01905808654491326,0.01866068084620442
7.6,0.0191936218501309,0.01866068084620442
7.65,0.01931376266327329,0.01866068084620442
7.7,0.019416506154467,0.01866068084620442
7.75,0.01950027089917657,0.01866068084620442
7.8,0.01956390187840449,0.01866068084620442
7.85,0.01960669928107852,0.01866068084620442
7.9,0.01962841976990122,0.01866068084620442
7.95,0.01962927961478068,0.01866068084620442
8,0.01960991945617111,0.01866068084620442
