x,y,un
0.0,0.013128041885181357,2.0
0.1,0.0036770609430073,2.0
0.2,0.019513683400389014,2.0
0.30000000000000004,-0.007191475478659056,2.0
0.4,0.017598940049830415,2.0
0.5,0.0379729522788772,2.0
0.6000000000000001,0.09890674797070825,2.0
0.7000000000000001,0.0686426698345029,2.0
0.8,0.12682428128627427,2.0
0.9,0.15615014365653532,2.0
1.0,0.176823630769207,2.0
1.1,0.27734603693699,2.0
1.2000000000000002,0.2664638359007182,2.0
1.3,0.3307241587745603,2.0
1.4000000000000001,0.4154428089434152,2.0
1.5,0.4607827172432652,2.0
1.6,0.5222168043659964,2.0
1.7000000000000002,0.529619206610449,2.0
1.8,0.5397563325012212,2.0
1.9000000000000001,0.6077627926399515,2.0
2.0,0.5720011692907425,2.0
2.1,0.6213710673639611,2.0
2.2,0.6384406932918915,2.0
2.3000000000000003,0.613897289963417,2.0
2.4000000000000004,0.6496238747484853,2.0
2.5,0.5735923865722526,2.0
2.6,0.6129786426694124,2.0
2.7,0.5633981597982065,2.0
2.8000000000000003,0.5563308794938746,2.0
2.9000000000000004,0.5554186750414961,2.0
3.0,0.4988833492910574,2.0
3.1,0.543649901083575,2.0
3.2,0.5145798558250311,2.0
3.3000000000000003,0.5083500170648576,2.0
3.4000000000000004,0.4946101183779331,2.0
3.5,0.4704820665683292,2.0
3.6,0.49983280982392453,2.0
3.7,0.515392834451157,2.0
3.8000000000000003,0.5019302970552872,2.0
3.9000000000000004,0.5564665888900018,2.0
4.0,0.584233106503666,2.0
4.1000000000000005,0.6010522049434069,2.0
4.2,0.5815057134196367,2.0
4.3,0.6019981649877839,2.0
4.4,0.6567597743679328,2.0
4.5,0.6723074896084654,2.0
4.6000000000000005,0.7356296385882868,2.0
4.7,0.6564820267942961,2.0
4.800000000000001,0.6774310283414618,2.0
4.9,0.6824673897386735,2.0
5.0,0.6981269442108443,2.0
5.1000000000000005,0.7040372580106765,2.0
5.2,0.7119879045035278,2.0
5.300000000000001,0.691120579289457,2.0
5.4,0.6898487838188593,2.0
5.5,0.6954003212546793,2.0
5.6000000000000005,0.6410319404491585,2.0
5.7,0.6403434663159143,2.0
5.800000000000001,0.6416604694203778,2.0
5.9,0.6068900302487235,2.0
6.0,0.6056977499073055,2.0
6.1000000000000005,0.6463396344199858,2.0
6.2,0.6260380878385476,2.0
6.300000000000001,0.6169417904721597,2.0
6.4,0.5918787349110103,2.0
6.5,0.5875082156967495,2.0
6.6000000000000005,0.6485518337928641,2.0
6.7,0.5953861001323149,2.0
6.800000000000001,0.6234981080175261,2.0
6.9,0.6719618726117519,2.0
7.0,0.6492510675544906,2.0
